City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
474,Bentiu,SS,71.47,overcast clouds,9.2333,29.8333,Mandela hôtel
477,Dehui,CN,79.75,clear sky,44.5333,125.7,Chunyi Hotel
480,Nola,IT,79.39,clear sky,40.922,14.5329,Palazzo Giordano Bruno
484,Gabu,GW,72.03,overcast clouds,12.2833,-14.2167,Hotel karsa
486,San Ignacio,BZ,76.33,few clouds,17.1561,-89.0714,Rainforest Haven Inn
487,Gamba,GA,72.1,broken clouds,-2.65,10.0,
493,Tahe,CN,77.07,overcast clouds,52.3333,124.7333,塔河宾馆
495,Yoichi,JP,78.64,light rain,43.2039,140.7703,Marumatta Farm 21
497,Labuhan,ID,78.6,overcast clouds,-6.8844,112.2051,DoubleFAG
502,Pandegelang,ID,77.27,few clouds,-6.31,106.1058,Rizki Hotel & Resto
504,Mayumba,GA,71.19,overcast clouds,-3.432,10.6554,LIKWALE LODGE
507,San Cristobal,VE,75.38,few clouds,7.7669,-72.225,Pirineos
508,Goderich,CA,73.72,clear sky,43.7501,-81.7165,Harmony Inn
510,Itarema,BR,78.03,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
512,Lai,TD,71.17,light rain,9.3952,16.2989,
522,El Tigre,VE,78.8,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
524,Yuci,CN,74.95,haze,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
528,Churapcha,RU,79.54,broken clouds,62.0025,132.4325,"""Tusku"""
531,Solnechnyy,RU,72.54,broken clouds,50.7214,136.6319,Hotel complex Pastoral
537,Karratha,AU,75.42,clear sky,-20.7377,116.8463,ibis Styles Karratha
544,Altay,CN,71.1,broken clouds,47.8667,88.1167,Jinqiao Hotel
547,Walajapet,IN,79.56,broken clouds,12.9333,79.3833,ARS.Residency
549,Ponto Novo,BR,71.49,few clouds,-10.8628,-40.1336,Pousada Mucambo
552,Haifa,IL,73.2,few clouds,32.8156,34.9892,Dan Panorama Haifa Hotel
554,Kon Tum,VN,75.72,overcast clouds,14.35,108.0,Hoa đà spa- homestay
558,Teluk Nibung,ID,78.94,overcast clouds,3.001,99.8164,Hotel Assyifa
559,Pacifica,US,74.73,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
562,Poum,NC,72.73,clear sky,-20.2333,164.0167,
563,Trairi,BR,77.07,overcast clouds,-3.2778,-39.2689,janelas do mar
566,Aksay,RU,73.62,overcast clouds,47.26,39.87,Chernaya Zhemchuzhina
570,Neka,IR,73.11,clear sky,36.6508,53.299,گالری گل وندا
576,Djenne,ML,79.03,broken clouds,13.9061,-4.5533,Hôtel Chez Baba
583,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
586,Assiniboia,CA,73.22,broken clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
587,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
592,Yenagoa,NG,72.84,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
593,Ulcinj,ME,75.42,clear sky,41.9294,19.2244,Hotel Palata Venezia
595,Yanam,IN,79.16,overcast clouds,16.7333,82.2167,The Regency Hotel
597,Quatre Cocos,MU,70.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
598,Urumqi,CN,74.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
599,Pacific Grove,US,74.01,few clouds,36.6177,-121.9166,Lovers Point Inn
603,Muddebihal,IN,77.29,overcast clouds,16.3333,76.1333,Shri Ganesh hotel
609,Quartucciu,IT,77.18,clear sky,39.2519,9.1794,Best Western Hotel Residence Italia
610,Ellsworth,US,73.49,clear sky,44.5434,-68.4195,Hampton Inn Ellsworth/Bar Harbor
614,Gasa,PS,77.58,scattered clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
618,Skovorodino,RU,74.79,overcast clouds,53.9833,123.9167,Amur
621,Tamale,GH,72.18,light rain,9.4008,-0.8393,Tap Hotel
623,Zaysan,KZ,75.47,few clouds,47.4667,84.8667,Ерлан үй
625,Lekoni,GA,74.79,clear sky,-1.5843,14.2591,Rendez-vous Des ChasseursD
627,Yaan,NG,70.63,overcast clouds,7.3833,8.5667,
628,Kudahuvadhoo,MV,78.48,heavy intensity rain,2.6708,72.8944,Niyama Private Islands Maldives
629,Ribeira Brava,PT,73.0,clear sky,32.65,-17.0667,Hotel do Campo
631,Gat,IL,78.4,broken clouds,31.61,34.7642,OlusHome
635,Hovd,MN,71.11,overcast clouds,48.0056,91.6419,Hotel Khovd
637,Malabo,GQ,76.86,scattered clouds,3.75,8.7833,Magno Suites Exclusive Hotel & Restaurant
642,Lamu,KE,73.62,light rain,-2.2717,40.902,Lamu House
650,Piacabucu,BR,74.25,broken clouds,-10.4056,-36.4344,Piaçabuçu News
651,Kinablangan,PH,77.23,heavy intensity rain,7.6947,126.5503,Morales Eatery and Lodging House
653,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
654,Bodaybo,RU,70.97,light rain,57.8506,114.1933,Apartment on Karla Libknekhta 17
655,Kushalgarh,IN,75.83,overcast clouds,23.199,74.4507,Hotel Janvi
658,Passagem Franca,BR,75.38,clear sky,-6.1797,-43.7836,Hotel Brasil
662,Verkhoyansk,RU,74.61,overcast clouds,67.5447,133.385,
664,Maan,PH,78.64,light rain,5.9339,124.7356,lola glo resort
673,Abonnema,NG,73.36,light rain,4.7084,6.7931,Corper's Lodge Obonoma
674,Kashi,CN,74.41,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
676,Canora,CA,73.42,overcast clouds,51.6333,-102.4343,Canora Hotel
681,Birao,CF,70.59,broken clouds,10.2849,22.7882,
